LPG,CO,Smoke
0.00777806,0.00507023,0.0207741
0.00813886,0.0053982,0.021805
0.00702175,0.00440165,0.0186237
0.00748013,0.00480375,0.0199252
0.00714477,0.00450861,0.0189725
0.00893546,0.00614199,0.0240921
0.0117777,0.00899728,0.032359
0.0115382,0.00874538,0.0316567
0.0119473,0.00917687,0.032857
0.00788317,0.00516519,0.0210741
0.00794589,0.00522209,0.0212532
0.00626972,0.00376364,0.0165012
0.0094459,0.00663224,0.025565
0.00867303,0.00589403,0.0233371
0.00564908,0.00325858,0.0147624
0.00824738,0.00549796,0.0221157
0.0080284,0.0052972,0.0214891
0.00671188,0.00413543,0.0177472
0.00904591,0.00624718,0.0244103
0.00623434,0.00373431,0.0164017
0.00676913,0.00418426,0.0179089
0.00856587,0.00579361,0.0230292
0.00619243,0.00369966,0.016284
0.00766316,0.00496699,0.0204464
0.00767716,0.00497954,0.0204863
0.00835458,0.00559699,0.0224229
0.00634826,0.00382897,0.0167221
0.00823045,0.00548237,0.0220672
0.00727794,0.00462518,0.0193504
0.00775682,0.0050511,0.0207135
0.00790564,0.00518555,0.0211382
0.00832726,0.00557171,0.0223446
0.00827488,0.00552332,0.0221945
0.00827078,0.00551953,0.0221828
0.00931892,0.0065093,0.0251981
0.00742911,0.00475852,0.0197801
0.00581185,0.00338908,0.0152172
0.0064077,0.00387861,0.0168894
0.00849414,0.00572665,0.0228233
0.00824443,0.00549524,0.0221073
0.00753787,0.00485509,0.0200896
0.00851214,0.00574343,0.0228749
0.00869299,0.00591279,0.0233944
0.0107154,0.00789526,0.0292514
0.00725517,0.0046052,0.0192858
0.00618607,0.0036944,0.0162661
0.00982564,0.00700362,0.0266643
0.00783417,0.00512086,0.0209342
0.00593311,0.00348721,0.0155566
0.00673455,0.00415474,0.0178112
0.00756338,0.00487781,0.0201622
0.00882482,0.00603711,0.0237736
0.00585506,0.00342396,0.0153381
0.00757204,0.00488553,0.0201868
0.0110301,0.00821759,0.03017
0.00891239,0.00612008,0.0240257
0.00837552,0.0056164,0.022483
0.00687743,0.00427709,0.0182151
0.00727288,0.00462074,0.0193361
0.00597118,0.00351819,0.0156633
0.00823674,0.00548816,0.0220853
0.0112375,0.00843191,0.0307762
0.00820631,0.00546015,0.0219981
0.00663448,0.00406965,0.0175286
0.00753063,0.00484864,0.0200689
0.0066146,0.0040528,0.0174725
0.00774617,0.00504152,0.0206831
0.00743248,0.0047615,0.0197897
0.00674955,0.00416754,0.0178536
0.0098529,0.00703049,0.0267434
0.00770924,0.00500832,0.0205778
0.0072664,0.00461506,0.0193177
0.00791603,0.00519498,0.0211679
0.00985796,0.00703548,0.026758
0.0054771,0.00312224,0.0142829
0.00830326,0.00554952,0.0222758
0.00859125,0.00581735,0.0231021
0.00621605,0.00371918,0.0163504
0.0105624,0.00773977,0.0288053
0.00744996,0.00477699,0.0198394
0.0102457,0.00742089,0.0278838
0.00614129,0.00365748,0.0161404
0.00509848,0.00282788,0.0132307
0.00699835,0.00438139,0.0185574
0.00920855,0.00640298,0.0248795
0.00786997,0.00515324,0.0210364
0.00778739,0.00507864,0.0208007
0.006732,0.00415257,0.017804
0.00904425,0.0062456,0.0244056
0.00636462,0.00384261,0.0167681
0.0059681,0.00351568,0.0156547
0.00917145,0.00636734,0.0247724
0.00914632,0.00634324,0.0246999
0.00736215,0.00469932,0.0195897
0.00995531,0.0071317,0.0270404
0.00965886,0.00683982,0.0261812
0.00850976,0.00574121,0.0228681
0.00873947,0.00595654,0.0235281
0.00835289,0.00559543,0.0224181
0.00747333,0.00479771,0.0199059
0.00688046,0.00427969,0.0182237
0.0101524,0.00732763,0.0276127
